X,T,U
-1.0,0.0,-1.0
-0.984375,0.0,-0.9678269447456859
-0.96875,0.0,-0.9339575413398252
-0.953125,0.0,-0.8986146956979858
-0.9375,0.0,-0.8620183128544018
-0.921875,0.0,-0.8243844707935077
-0.90625,0.0,-0.785924631201941
-0.890625,0.0,-0.7468448895946372
-0.875,0.0,-0.707345267078954
-0.859375,0.0,-0.6676190458248088
-0.84375,0.0,-0.6278521501073738
-0.828125,0.0,-0.5882225745827061
-0.8125,0.0,-0.5488998612466022
-0.796875,0.0,-0.510044626313759
-0.78125,0.0,-0.47180813803877997
-0.765625,0.0,-0.4343319462835099
-0.75,0.0,-0.3977475644174332
-0.734375,0.0,-0.3621762039201817
-0.71875,0.0,-0.3277285618384459
-0.703125,0.0,-0.29450466103446726
-0.6875,0.0,-0.2625937429506715
-0.671875,0.0,-0.2320742124055828
-0.65625,0.0,-0.20301363373072745
-0.640625,0.0,-0.17546877735749622
-0.625,0.0,-0.14948571576761327
-0.609375,0.0,-0.12509996753163255
-0.59375,0.0,-0.10233668797740325
-0.578125,0.0,-0.08121090485536342
-0.5625,0.0,-0.061727797200415546
-0.546875,0.0,-0.04388301543159612
-0.53125,0.0,-0.027663040581291987
-0.515625,0.0,-0.013045580405897983
-0.5,0.0,0.0
-0.484375,0.0,0.011512215583166174
-0.46875,0.0,0.021536969310694487
-0.453125,0.0,0.030127033451406104
-0.4375,0.0,0.03734150694839966
-0.421875,0.0,0.04324525174547844
-0.40625,0.0,0.047908310992191505
-0.390625,0.0,0.05140531210208432
-0.375,0.0,0.05381485767634081
-0.359375,0.0,0.05521890733022933
-0.34375,0.0,0.055702153472603266
-0.328125,0.0,0.055351394089162786
-0.3125,0.0,0.05425490556832052
-0.296875,0.0,0.052501818584416104
-0.28125,0.0,0.050181500016850844
-0.265625,0.0,0.04738294383564168
-0.25,0.0,0.0441941738241593
-0.234375,0.0,0.040701660938688045
-0.21875,0.0,0.036989758022240415
-0.203125,0.0,0.03314015449712626
-0.1875,0.0,0.029231353557511497
-0.171875,0.0,0.02533817427002777
-0.15625,0.0,0.02153128086787992
-0.140625,0.0,0.01787674139233386
-0.125,0.0,0.014435617695488956
-0.109375,0.0,0.011263588670402447
-0.09375,0.0,0.00841060841952157
-0.078125,0.0,0.005920600910611362
-0.0625,0.0,0.0038311925015751536
-0.046875,0.0,0.0021734835424032095
-0.03125,0.0,0.0009718600846408965
-0.015625,0.0,0.00024384654692510832
0.0,0.0,5.551115123125783e-17
0.015625,0.0,0.00024384654692510832
0.03125,0.0,0.000971860084640841
0.046875,0.0,0.0021734835424030985
0.0625,0.0,0.003831192501575098
0.078125,0.0,0.005920600910611307
0.09375,0.0,0.008410608419521293
0.109375,0.0,0.011263588670402336
0.125,0.0,0.01443561769548879
0.140625,0.0,0.017876741392333695
0.15625,0.0,0.021531280867879754
0.171875,0.0,0.025338174270027547
0.1875,0.0,0.029231353557511386
0.203125,0.0,0.03314015449712626
0.21875,0.0,0.036989758022240415
0.234375,0.0,0.040701660938687934
0.25,0.0,0.04419417382415919
0.265625,0.0,0.04738294383564173
0.28125,0.0,0.050181500016850955
0.296875,0.0,0.052501818584416216
0.3125,0.0,0.05425490556832052
0.328125,0.0,0.0553513940891629
0.34375,0.0,0.05570215347260332
0.359375,0.0,0.05521890733022938
0.375,0.0,0.053814857676340866
